Nombre_de_la_Serie,Numero_de_empresas,Monto_de_recaudacion_de_aportaciones_de_derechohabientes_con_credito,Monto_de_recaudacion_por_amortizaciones_de_derechohabientes_sin_credito,Monto_de_recaudacion_de_aportaciones_de_derechohabientes_por_amortizaciones
2005/05,754311,1301323587,5672244356,4469336543
2005/06,756954,1289408857,5620854109,4556844575
2006/01,752768,1323898221,5671915329,4644184013
2006/02,753314,1349780746,5714509518,4846823533
2006/03,760070,1412464475,5989572778,5010210773
2006/04,764613,1465854348,6126632151,5129147835
2006/05,765679,1523510252,6358349760,5215456459
2006/06,764791,1493909939,6254817706,5232426421
2007/01,765734,1524411927,6293279747,5316625162
2007/02,767601,1559347842,6334109378,5512056629
2007/03,771557,1615283136,6615702162,5639530965
2007/04,779385,1651680731,6754921733,5709939867
2007/05,781053,1713839353,7035754927,5834604599
2007/06,776932,1672611281,6883714996,5864690128
2008/01,780600,1711948987,6923403390,5968955032
2008/02,777182,1778206701,7030121113,6247560621
2008/03,777053,1839458581,7241546240,6402377119
2008/04,780667,1884751670,7305621035,6492604362
2008/05,774049,1959397042,7522699200,6602370015
2008/06,767100,1942158946,7285605053,6690039898
2009/01,762710,1954603592,7133563625,6763883824
2009/02,763777,1973302327,7054625876,7080159497
2009/03,756843,1996706285,7148566962,7142869014
2009/04,761346,2038374121,7135047864,7189540506
2009/05,761433,2112899131,7324164737,7365897838
2009/06,760723,2084432281,7183199082,7418581863
2010/01,757870,2135439359,7146275573,7595165515
2010/02,762076,2196422660,7244092980,8037550936
2010/03,765777,2279485820,7532814993,8223591335
2010/04,768257,2360176884,7658204505,8352860680
2010/05,768173,2464752861,7863858929,8568763697
2010/06,771542,2446976664,7735549306,8717621333
2011/01,772231,2494221352,7703875709,8871140235
2011/02,776088,2550090848,7775583823,9348030224
2011/03,779935,2659332891,8118580894,9581139778
2011/04,785533,2732699422,8219024489,9743742276
2011/05,788501,2858098966,8412528158,10042488375
2011/06,791191,2832369849,8260328615,10279645857
2012/01,791231,2903113389,8268521257,10412142725
2012/02,791448,3027513948,8435314389,10962176795
2012/03,795855,3098407628,8714263598,11211621958
2012/04,799765,3204990756,8763823904,11341817825
2012/05,799430,3338790552,9043187866,11555206954
2012/06,799857,3280154642,8912704472,11703498473
2013/01,800376,3333860272,8823507323,11866563942
2013/02,800766,3400102195,8846333127,12336316826
2013/03,802667,3514950019,9162224510,12490645985
2013/04,808364,3609918274,9275974235,12712344290
2013/05,808003,3722629620,9492200191,12847356254
2013/06,809114,3659401827,9280580941,13004361217
2014/01,809988,3713019853,9323527387,13200793773
2014/02,808580,3770111399,9370482529,13682029773
2014/03,810625,3893103965,9841222440,13917395078
2014/04,816031,3954164443,9993786431,13991764298
2014/05,819807,4060238282,10423595884,14109225496
2014/06,821901,3934183294,10215492051,14083013951
2015/01,825685,3990673863,10234231885,14307067927
2015/02,832424,4035822284,10324476660,14898977373
2015/03,839493,4192771537,10823542629,15177284335
2015/04,849202,4271886104,10977375420,15304018764
2015/05,851997,4390997645,11371644141,15441351177
2015/06,854871,4556789824,11738212845,16500533795
2016/01,854305,4090640511,10518130594,14965649092
2016/02,862361,4472275993,11395508894,16349510371
2016/03,870593,4522397971,11664401443,16484881044
2016/04,872862,4589095015,11881691548,16387755728
2016/05,876602,4711710123,12431149980,16414364322
2016/06,883000,4898572253,12794909824,17579748191
2017/01,882848,4359176207,11473528465,15802878016
2017/02,883198,4695764433,12218226583,17232159710
2017/03,890742,4887307858,12919133033,17434586604
2017/04,898109,5000435250,13148162811,17457607032
2017/05,903624,5116061453,13564568197,17553313473
2017/06,910892,5288801250,14057559191,18685905170
2018/01,911772,4734897145,12787533922,16949638816
2018/02,916158,5072829238,13613677089,18362290304
2018/03,924164,5272377577,14429082471,18557404411
2018/04,930000,5356976362,14628185132,18586093069
2018/05,936583,5486653450,15196679335,18600995983
2018/06,937945,5638241241,15631787429,19703377899
2019/01,937537,5028329068,14182805940,17857710195
2019/02,940260,5415160478,15243096374,19429009866
2019/03,948605,5637567419,15964340823,19700674172
2019/04,958484,5708947651,16150825918,19746553369
2019/05,964148,6114678771,17405163863,20662474432
2019/06,966017,5632472384,16306471486,19728662757
2020/01,966257,5292095571,15562706206,18755322041
2020/02,946912,5703083782,16770582110,19776095496
2020/03,919592,5692933138,15883221584,19532823569
2020/04,926522,5611405260,16704916045,19081376638
